display_name,publication_date,publication_year,language,relevance_score,primary_location_id,primary_location_display_name,h_index,author_ids,author_names,author_institution_names,author_country,is_oa,oa_url,cited_by_count,cited_by_api_url,referenced_works_count,referenced_works,related_works,topics_display_name,primary_topic_display_name,concepts_display_name,keywords_display_name,sustainable_development_goals_display_name
Classifying political regimes,1996-06-01,1996,en,3944.9678,https://openalex.org/S76061110,Studies in comparative international development,89,https://openalex.org/A5006969960|https://openalex.org/A5070995141|https://openalex.org/A5039916194|https://openalex.org/A5020257111,Mike Alvarez|José Antônio Cheibub|Fernando Limongi|Adam Przeworski,DePaul University|University of Pennsylvania|Universidade de São Paulo|New York University,US|US|BR|US,FALSE,,766,https://api.openalex.org/works?filter=cites:W2040326832,32,https://openalex.org/W1509383136|https://openalex.org/W1581908573|https://openalex.org/W1915114410|https://openalex.org/W1976631032|https://openalex.org/W1996414712|https://openalex.org/W2007544464|https://openalex.org/W2020056001|https://openalex.org/W2024847495|https://openalex.org/W2057002310|https://openalex.org/W2083277050|https://openalex.org/W2083283208|https://openalex.org/W2093493187|https://openalex.org/W2140935926|https://openalex.org/W2316182293|https://openalex.org/W2316653503|https://openalex.org/W2322061938|https://openalex.org/W2323805652|https://openalex.org/W2328702599|https://openalex.org/W2329278758|https://openalex.org/W2797009949|https://openalex.org/W2797411123|https://openalex.org/W3189368797|https://openalex.org/W4211032903|https://openalex.org/W4213331037|https://openalex.org/W4239307160|https://openalex.org/W4300654905|https://openalex.org/W4300737920|https://openalex.org/W4300866543|https://openalex.org/W4301385355|https://openalex.org/W4302559313|https://openalex.org/W4319588245|https://openalex.org/W4383180825,https://openalex.org/W4294860382|https://openalex.org/W4303857852|https://openalex.org/W2492541865|https://openalex.org/W2752365535|https://openalex.org/W2043524469|https://openalex.org/W2382521256|https://openalex.org/W2033590206|https://openalex.org/W2905564362|https://openalex.org/W1535724248|https://openalex.org/W3204777379,Empirical Analysis of Political Behavior and Institutions|Social Movements and Political Conflict Analysis|Politics and Economics of Welfare State,Empirical Analysis of Political Behavior and Institutions,Dictatorship|Politics|Independence (probability theory)|Set (abstract data type)|Positive economics|Observable|Political science|Econometrics|Economics|Statistics|Mathematics|Computer science|Democracy|Law|Physics|Quantum mechanics|Programming language,Democracy,Reduced inequalities
The Effect of Political Regime on Civil War,2008-03-06,2008,en,3300.401,https://openalex.org/S20177303,Journal of conflict resolution/The Journal of conflict resolution,176,https://openalex.org/A5080456175,James Raymond Vreeland,Yale University,US,FALSE,,531,https://api.openalex.org/works?filter=cites:W2132509947,54,https://openalex.org/W585803758|https://openalex.org/W628528393|https://openalex.org/W1009320516|https://openalex.org/W1597529951|https://openalex.org/W1982277901|https://openalex.org/W1983934918|https://openalex.org/W1985373000|https://openalex.org/W1985843348|https://openalex.org/W1988926412|https://openalex.org/W1999896322|https://openalex.org/W2000415832|https://openalex.org/W2007593638|https://openalex.org/W2014993976|https://openalex.org/W2018439526|https://openalex.org/W2063489210|https://openalex.org/W2083513139|https://openalex.org/W2093181480|https://openalex.org/W2113371706|https://openalex.org/W2114442842|https://openalex.org/W2134186981|https://openalex.org/W2136912908|https://openalex.org/W2142013610|https://openalex.org/W2146240021|https://openalex.org/W2147873070|https://openalex.org/W2149758946|https://openalex.org/W2150972305|https://openalex.org/W2151780178|https://openalex.org/W2151808187|https://openalex.org/W2158457652|https://openalex.org/W2161051641|https://openalex.org/W2161923163|https://openalex.org/W2167835051|https://openalex.org/W2320650493|https://openalex.org/W2326788321|https://openalex.org/W2413566718|https://openalex.org/W2587416621|https://openalex.org/W2606085513|https://openalex.org/W2796225957|https://openalex.org/W2800021122|https://openalex.org/W2801873646|https://openalex.org/W2802402771|https://openalex.org/W2883212115|https://openalex.org/W3122881352|https://openalex.org/W4206002932|https://openalex.org/W4233117762|https://openalex.org/W4237682377|https://openalex.org/W4246521157|https://openalex.org/W4246819680|https://openalex.org/W4250148138|https://openalex.org/W4251435468|https://openalex.org/W4254590794|https://openalex.org/W4255918185|https://openalex.org/W4300029346|https://openalex.org/W4300957408,https://openalex.org/W2385474510|https://openalex.org/W4365148112|https://openalex.org/W2382521256|https://openalex.org/W585170988|https://openalex.org/W4388059724|https://openalex.org/W1689884600|https://openalex.org/W4294860382|https://openalex.org/W2336961940|https://openalex.org/W2392137551|https://openalex.org/W3135812703,Social Movements and Political Conflict Analysis|Civil Rights Movement and Black Studies|Religion and Secularism in Modern Society,Social Movements and Political Conflict Analysis,Polity|Spanish Civil War|Dictatorship|Politics|Political economy|Political science|Political violence|Sociology|Law|Democracy,Democracy,"Peace, justice, and strong institutions"
"A Complete Data Set of Political Regimes, 1800–2007",2012-11-26,2012,en,3232.4492,https://openalex.org/S105556297,Comparative political studies,170,https://openalex.org/A5015250779|https://openalex.org/A5018456547|https://openalex.org/A5047697147,Carles Boix|M.K. Miller|Sebastian Rosato,Princeton University|Australian National University|University of Notre Dame,US|AU|US,FALSE,,792,https://api.openalex.org/works?filter=cites:W2129260435,85,https://openalex.org/W153593738|https://openalex.org/W608885012|https://openalex.org/W1478494204|https://openalex.org/W1533369859|https://openalex.org/W1653415068|https://openalex.org/W1965437934|https://openalex.org/W1966855656|https://openalex.org/W1978456111|https://openalex.org/W1979325127|https://openalex.org/W1986780829|https://openalex.org/W1995580958|https://openalex.org/W1999896322|https://openalex.org/W2000349390|https://openalex.org/W2020056001|https://openalex.org/W2020238609|https://openalex.org/W2036381016|https://openalex.org/W2037396029|https://openalex.org/W2040326832|https://openalex.org/W2041887672|https://openalex.org/W2050088899|https://openalex.org/W2054399047|https://openalex.org/W2063489210|https://openalex.org/W2066642254|https://openalex.org/W2073099922|https://openalex.org/W2073493950|https://openalex.org/W2077804264|https://openalex.org/W2083277050|https://openalex.org/W2083547856|https://openalex.org/W2083620364|https://openalex.org/W2097125061|https://openalex.org/W2097619746|https://openalex.org/W2098996331|https://openalex.org/W2107559193|https://openalex.org/W2110537446|https://openalex.org/W2114442842|https://openalex.org/W2119922379|https://openalex.org/W2125353063|https://openalex.org/W2125353502|https://openalex.org/W2132222729|https://openalex.org/W2132509947|https://openalex.org/W2133369488|https://openalex.org/W2133728812|https://openalex.org/W2134186981|https://openalex.org/W2135256695|https://openalex.org/W2147194563|https://openalex.org/W2151780178|https://openalex.org/W2155433596|https://openalex.org/W2160251138|https://openalex.org/W2161923163|https://openalex.org/W2169223645|https://openalex.org/W2171690315|https://openalex.org/W2316182293|https://openalex.org/W2321220112|https://openalex.org/W2322061938|https://openalex.org/W2331702659|https://openalex.org/W3021199726|https://openalex.org/W3112492624|https://openalex.org/W3121898632|https://openalex.org/W3122277650|https://openalex.org/W3122513675|https://openalex.org/W3122722953|https://openalex.org/W3123123937|https://openalex.org/W3123693529|https://openalex.org/W3124166904|https://openalex.org/W3124882147|https://openalex.org/W3189368797|https://openalex.org/W4206341998|https://openalex.org/W4212767806|https://openalex.org/W4213353132|https://openalex.org/W4229693570|https://openalex.org/W4230013087|https://openalex.org/W4233532738|https://openalex.org/W4237232631|https://openalex.org/W4243884988|https://openalex.org/W4245169197|https://openalex.org/W4245935937|https://openalex.org/W4246521157|https://openalex.org/W4247376845|https://openalex.org/W4298364222|https://openalex.org/W4298377943|https://openalex.org/W4299530062|https://openalex.org/W4300022765|https://openalex.org/W4300957408|https://openalex.org/W4312850488|https://openalex.org/W4367028114,https://openalex.org/W4385993479|https://openalex.org/W2390416707|https://openalex.org/W2350040663|https://openalex.org/W3014169562|https://openalex.org/W2366936194|https://openalex.org/W2952714207|https://openalex.org/W2991720588|https://openalex.org/W2394185980|https://openalex.org/W1596389388|https://openalex.org/W3023221273,Social Movements and Political Conflict Analysis|Influence of Culture on Economic and Social Development|Religion and Secularism in Modern Society,Social Movements and Political Conflict Analysis,Democracy|Politics|Modernization theory|Suffrage|Representative democracy|Value (mathematics)|Econometrics|Political science|Positive economics|Sociology|Political economy|Economics|Law|Statistics|Mathematics,Democracy,"Peace, justice, and strong institutions"
Political Regimes and Economic Growth,1995-01-01,1995,en,3100.8975,https://openalex.org/S4306463716,Palgrave Macmillan UK eBooks,258,https://openalex.org/A5020257111|https://openalex.org/A5039916194|https://openalex.org/A5087043517,Adam Przeworski|Fernando Limongi|Salvador Giner,University of Chicago|Universidade de São Paulo|Institute for Catalan Studies,US|BR|ES,TRUE,http://www.rochelleterman.com/ComparativeExam/sites/default/files/Bibliography and Summaries/Przeworski 1993.pdf,525,https://api.openalex.org/works?filter=cites:W2118144184,72,https://openalex.org/W598180937|https://openalex.org/W654049142|https://openalex.org/W1483833521|https://openalex.org/W1509394355|https://openalex.org/W1513281941|https://openalex.org/W1548051212|https://openalex.org/W1592781494|https://openalex.org/W1982375873|https://openalex.org/W1988564854|https://openalex.org/W1999541437|https://openalex.org/W2002470573|https://openalex.org/W2003121967|https://openalex.org/W2009060438|https://openalex.org/W2011501126|https://openalex.org/W2013978566|https://openalex.org/W2014730378|https://openalex.org/W2015646194|https://openalex.org/W2015740486|https://openalex.org/W2017802748|https://openalex.org/W2018579465|https://openalex.org/W2026904251|https://openalex.org/W2030688093|https://openalex.org/W2031917888|https://openalex.org/W2035650542|https://openalex.org/W2046898569|https://openalex.org/W2047835835|https://openalex.org/W2049887266|https://openalex.org/W2050198085|https://openalex.org/W2060948512|https://openalex.org/W2071362013|https://openalex.org/W2076664493|https://openalex.org/W2076801197|https://openalex.org/W2079976804|https://openalex.org/W2081236465|https://openalex.org/W2090539283|https://openalex.org/W2091202199|https://openalex.org/W2091940138|https://openalex.org/W2098910318|https://openalex.org/W2111004012|https://openalex.org/W2141704224|https://openalex.org/W2141974747|https://openalex.org/W2145879872|https://openalex.org/W2154201818|https://openalex.org/W2168507388|https://openalex.org/W2247064200|https://openalex.org/W2316877450|https://openalex.org/W2318466303|https://openalex.org/W2322864028|https://openalex.org/W2325073527|https://openalex.org/W2330177938|https://openalex.org/W2795705852|https://openalex.org/W2797411123|https://openalex.org/W3023061756|https://openalex.org/W3023721815|https://openalex.org/W3122611856|https://openalex.org/W3124725810|https://openalex.org/W3125236965|https://openalex.org/W3142221335|https://openalex.org/W4230809332|https://openalex.org/W4230833905|https://openalex.org/W4237232631|https://openalex.org/W4243678657|https://openalex.org/W4244155226|https://openalex.org/W4244839611|https://openalex.org/W4251960471|https://openalex.org/W4286779346|https://openalex.org/W4298005629|https://openalex.org/W4298273639|https://openalex.org/W4298413470|https://openalex.org/W4300132280|https://openalex.org/W4300197173|https://openalex.org/W4301344624,https://openalex.org/W2752365535|https://openalex.org/W2492541865|https://openalex.org/W4303857852|https://openalex.org/W2043524469|https://openalex.org/W4389677735|https://openalex.org/W2033590206|https://openalex.org/W2905564362|https://openalex.org/W2521228889|https://openalex.org/W2382521256|https://openalex.org/W4294860382,Income Inequality and Poverty Dynamics|Causes and Implications of Macroeconomic Trends,Income Inequality and Poverty Dynamics,Dictatorship|Authoritarianism|Property rights|Democracy|Argument (complex analysis)|Politics|Political science|Political economy|Consumption (sociology)|Autonomy|Economic system|Investment (military)|Per capita|Economics|Development economics|Law and economics|Sociology|Law|Social science|Biochemistry|Chemistry|Population|Demography,Economic Growth,"Peace, justice, and strong institutions"
"Corruption, growth and political regimes: Cross country evidence",2006-03-01,2006,en,2421.274,https://openalex.org/S100134864,European journal of political economy/Europäische Zeitschrift für politische Ökonomie,125,https://openalex.org/A5089123667|https://openalex.org/A5065679561,Fabio Méndez|Facundo Sepúlveda,University of Arkansas at Fayetteville|Australian National University,US|AU,FALSE,,402,https://api.openalex.org/works?filter=cites:W3122606204,31,https://openalex.org/W564236976|https://openalex.org/W1840781780|https://openalex.org/W1950785596|https://openalex.org/W1964592270|https://openalex.org/W1991128340|https://openalex.org/W2010235856|https://openalex.org/W2041692102|https://openalex.org/W2047108972|https://openalex.org/W2054972192|https://openalex.org/W2057811978|https://openalex.org/W2067183084|https://openalex.org/W2067784084|https://openalex.org/W2076944124|https://openalex.org/W2081494404|https://openalex.org/W2086030636|https://openalex.org/W2103776815|https://openalex.org/W2110537446|https://openalex.org/W2124282699|https://openalex.org/W2126783683|https://openalex.org/W2134472446|https://openalex.org/W2137300485|https://openalex.org/W2169223645|https://openalex.org/W2492196191|https://openalex.org/W2492407837|https://openalex.org/W2797411123|https://openalex.org/W3122705141|https://openalex.org/W3124886457|https://openalex.org/W3125631287|https://openalex.org/W3125784551|https://openalex.org/W4244992121|https://openalex.org/W4252304777,https://openalex.org/W3124476682|https://openalex.org/W2041517807|https://openalex.org/W2001222347|https://openalex.org/W2006980846|https://openalex.org/W3123291607|https://openalex.org/W2172095609|https://openalex.org/W3143062444|https://openalex.org/W2158544446|https://openalex.org/W3125052965|https://openalex.org/W1579236401,Causes and Effects of Corruption|Information and Communication Technology and Financial Access in Africa|Impact of Infrastructure and Taxation on Economic Growth,Causes and Effects of Corruption,Language change|Economics|Economic freedom|Empirical evidence|Politics|Political freedom|Incidence (geometry)|Demographic economics|Development economics|Democracy|Political science|Market economy|Art|Philosophy|Physics|Literature|Optics|Epistemology|Law,Governance,"Peace, justice, and strong institutions"
Classifying Political Regimes in Latin,2001-03-01,2001,en,2062.7878,https://openalex.org/S76061110,Studies in comparative international development,89,https://openalex.org/A5031922075|https://openalex.org/A5087558947|https://openalex.org/A5081999618,Scott Mainwaring|Daniel M. Brinks|Anı́bal Pérez-Liñán,,,FALSE,,224,https://api.openalex.org/works?filter=cites:W2069420386,42,https://openalex.org/W132993112|https://openalex.org/W630829163|https://openalex.org/W654049142|https://openalex.org/W1120929527|https://openalex.org/W1533369859|https://openalex.org/W1557941775|https://openalex.org/W1565589301|https://openalex.org/W1965437934|https://openalex.org/W1970365023|https://openalex.org/W1978456111|https://openalex.org/W1978745651|https://openalex.org/W1999896322|https://openalex.org/W2020056001|https://openalex.org/W2024847495|https://openalex.org/W2034652446|https://openalex.org/W2036381016|https://openalex.org/W2040326832|https://openalex.org/W2042618586|https://openalex.org/W2063489210|https://openalex.org/W2083277050|https://openalex.org/W2093493187|https://openalex.org/W2097619746|https://openalex.org/W2098996331|https://openalex.org/W2146240021|https://openalex.org/W2165252327|https://openalex.org/W2322061938|https://openalex.org/W2552642906|https://openalex.org/W2797943928|https://openalex.org/W2978574601|https://openalex.org/W3121898632|https://openalex.org/W3122277650|https://openalex.org/W3125085669|https://openalex.org/W3125244167|https://openalex.org/W3189368797|https://openalex.org/W4231813729|https://openalex.org/W4239807676|https://openalex.org/W4242143031|https://openalex.org/W4254075082|https://openalex.org/W4300648631|https://openalex.org/W4300957408|https://openalex.org/W4302559313|https://openalex.org/W4312850488,https://openalex.org/W2027331161|https://openalex.org/W2010153614|https://openalex.org/W3125865055|https://openalex.org/W4246044262|https://openalex.org/W2149209452|https://openalex.org/W2519422967|https://openalex.org/W2089220577|https://openalex.org/W2025703827|https://openalex.org/W2125704551|https://openalex.org/W2786208393,Clientelism and Political Power in Latin America|Social Movements and Political Conflict Analysis|Empirical Analysis of Political Behavior and Institutions,Clientelism and Political Power in Latin America,Democracy|Latin Americans|Politics|Authoritarianism|Dilemma|Coding (social sciences)|Sociology|Political science|Positive economics|Econometrics|Economics|Epistemology|Social science|Law|Philosophy,Democracy,"Peace, justice, and strong institutions"
Regimes of the World (RoW): Opening New Avenues for the Comparative Study of Political Regimes,2018-03-19,2018,en,1977.563,https://openalex.org/S2764872494,Politics and governance,36,https://openalex.org/A5074528994|https://openalex.org/A5074370516|https://openalex.org/A5082109923,Anna Lührmann|Marcus Tannenberg|Staffan I. Lindberg,University of Gothenburg|University of Gothenburg|University of Gothenburg,SE|SE|SE,TRUE,https://www.cogitatiopress.com/politicsandgovernance/article/download/1214/1214,268,https://api.openalex.org/works?filter=cites:W2792336927,0,,https://openalex.org/W2944277854|https://openalex.org/W2258359646|https://openalex.org/W2493324121|https://openalex.org/W2483613126|https://openalex.org/W4210958110|https://openalex.org/W4210994448|https://openalex.org/W4386824558|https://openalex.org/W204135935|https://openalex.org/W4294983171|https://openalex.org/W4234402960,Social Movements and Political Conflict Analysis|Empirical Analysis of Political Behavior and Institutions,Social Movements and Political Conflict Analysis,Autocracy|Authoritarianism|Politics|Operationalization|Democracy|Political economy|Typology|De facto|Political science|Extant taxon|Shadow (psychology)|Economics|Sociology|Law|Psychology|Philosophy|Epistemology|Evolutionary biology|Anthropology|Biology|Psychotherapist,Electoral Systems|Democracy,"Peace, justice, and strong institutions"
An Overview of the Political Regime Change Dataset,1996-08-01,1996,en,1963.4238,https://openalex.org/S105556297,Comparative political studies,170,https://openalex.org/A5055482600,Mark Gasiorowski,Louisiana State University,US,FALSE,,177,https://api.openalex.org/works?filter=cites:W1978456111,25,https://openalex.org/W270837669|https://openalex.org/W625292513|https://openalex.org/W1120929527|https://openalex.org/W1553945318|https://openalex.org/W1594894173|https://openalex.org/W1981448603|https://openalex.org/W2020056001|https://openalex.org/W2030548645|https://openalex.org/W2047069478|https://openalex.org/W2057002310|https://openalex.org/W2083277050|https://openalex.org/W2111004012|https://openalex.org/W2139649522|https://openalex.org/W2322061938|https://openalex.org/W2322183461|https://openalex.org/W2331848789|https://openalex.org/W3189368797|https://openalex.org/W4229780135|https://openalex.org/W4254590794|https://openalex.org/W4299689471|https://openalex.org/W4300957408|https://openalex.org/W4302393621|https://openalex.org/W4313167954|https://openalex.org/W4319587745|https://openalex.org/W4367028114,https://openalex.org/W2895823980|https://openalex.org/W2383974826|https://openalex.org/W2754728264|https://openalex.org/W2132350913|https://openalex.org/W4286558458|https://openalex.org/W2422969191|https://openalex.org/W4240128249|https://openalex.org/W2613225070|https://openalex.org/W1479784584|https://openalex.org/W2061601489,Social Movements and Political Conflict Analysis|Foreign Aid and Development Policies|Empirical Analysis of Political Behavior and Institutions,Social Movements and Political Conflict Analysis,Authoritarianism|Politics|Political change|Regime change|Listing (finance)|Democratization|Democracy|Transition (genetics)|Political science|State (computer science)|Distribution (mathematics)|Geography|Regional science|Econometrics|Economics|Law|Computer science|Mathematics|Chemistry|Finance|Algorithm|Gene|Mathematical analysis|Biochemistry,Policy Formation,Partnerships for the goals
Classifying political regimes revisited: legitimation and durability,2013-01-01,2013,en,1898.25,https://openalex.org/S110268115,Democratization,81,https://openalex.org/A5064839580,Steffen Kailitz,Total (Germany),DE,FALSE,,190,https://api.openalex.org/works?filter=cites:W2054520988,65,https://openalex.org/W47987020|https://openalex.org/W105664592|https://openalex.org/W110429153|https://openalex.org/W242289247|https://openalex.org/W281047794|https://openalex.org/W572973051|https://openalex.org/W576524223|https://openalex.org/W578903226|https://openalex.org/W579898874|https://openalex.org/W614768098|https://openalex.org/W650636263|https://openalex.org/W652673592|https://openalex.org/W1484634968|https://openalex.org/W1487692684|https://openalex.org/W1493286033|https://openalex.org/W1524781161|https://openalex.org/W1530823981|https://openalex.org/W1535011667|https://openalex.org/W1539427578|https://openalex.org/W1550349413|https://openalex.org/W1565589301|https://openalex.org/W1589559699|https://openalex.org/W1601404895|https://openalex.org/W1666032117|https://openalex.org/W1906667086|https://openalex.org/W1967654433|https://openalex.org/W1970106651|https://openalex.org/W1979378362|https://openalex.org/W1988287638|https://openalex.org/W1992458773|https://openalex.org/W1996809060|https://openalex.org/W2001598917|https://openalex.org/W2003784312|https://openalex.org/W2005470052|https://openalex.org/W2012895566|https://openalex.org/W2017778952|https://openalex.org/W2026631484|https://openalex.org/W2031496465|https://openalex.org/W2032403025|https://openalex.org/W2035293293|https://openalex.org/W2040162670|https://openalex.org/W2042264317|https://openalex.org/W2044267324|https://openalex.org/W2045672904|https://openalex.org/W2066511003|https://openalex.org/W2078299499|https://openalex.org/W2084242050|https://openalex.org/W2086651280|https://openalex.org/W2102694490|https://openalex.org/W2117454565|https://openalex.org/W2117592571|https://openalex.org/W2125353063|https://openalex.org/W2132975879|https://openalex.org/W2156586596|https://openalex.org/W2161573417|https://openalex.org/W2165468268|https://openalex.org/W2166749687|https://openalex.org/W2282920137|https://openalex.org/W2321368448|https://openalex.org/W2503508618|https://openalex.org/W2605551066|https://openalex.org/W2612375437|https://openalex.org/W2795958298|https://openalex.org/W2800163329|https://openalex.org/W3104379747,https://openalex.org/W2280611803|https://openalex.org/W2096634607|https://openalex.org/W4387536261|https://openalex.org/W2491420409|https://openalex.org/W4388616697|https://openalex.org/W2352180411|https://openalex.org/W1595056623|https://openalex.org/W4312537835|https://openalex.org/W2600195153|https://openalex.org/W4353044645,Social Movements and Political Conflict Analysis|Politics and Economics of Welfare State|Populism in Contemporary Politics,Social Movements and Political Conflict Analysis,Legitimation|Politics|Political science|Political economy|Durability|Law|Law and economics|Sociology|Computer science|Database,Political Economy,"Peace, justice, and strong institutions"
"Human Dignity, Human Rights, and Political Regimes",1986-09-01,1986,en,1621.7281,https://openalex.org/S176007004,The American political science review,346,https://openalex.org/A5026824298|https://openalex.org/A5062856477,Rhoda E. Howard|Jack Donnelly,McMaster University|University of North Carolina at Chapel Hill,CA|US,TRUE,https://scholars.wlu.ca/cgi/viewcontent.cgi?article=1018&context=poli_faculty,130,https://api.openalex.org/works?filter=cites:W2022357290,20,https://openalex.org/W590377436|https://openalex.org/W645355715|https://openalex.org/W647417136|https://openalex.org/W1591281224|https://openalex.org/W2070101583|https://openalex.org/W2132179358|https://openalex.org/W2158784455|https://openalex.org/W2276960419|https://openalex.org/W2313939957|https://openalex.org/W2314309235|https://openalex.org/W2316359718|https://openalex.org/W2319255638|https://openalex.org/W2334779492|https://openalex.org/W2588055030|https://openalex.org/W2606208778|https://openalex.org/W2795885701|https://openalex.org/W2796716809|https://openalex.org/W2800400548|https://openalex.org/W4238493992|https://openalex.org/W4376597334,https://openalex.org/W2109916127|https://openalex.org/W2385939086|https://openalex.org/W2350192047|https://openalex.org/W2741331843|https://openalex.org/W4285330415|https://openalex.org/W3019357012|https://openalex.org/W4309855126|https://openalex.org/W3133620962|https://openalex.org/W3132905396|https://openalex.org/W2392018003,Theoretical Perspectives on Global Justice|Dignity Therapy in Palliative Care|Biopolitics and State of Exception Studies,Theoretical Perspectives on Global Justice,Dignity|Human rights|Autonomy|Politics|Communism|Ideal (ethics)|Political science|Variety (cybernetics)|Fundamental rights|Sociology|Environmental ethics|Law and economics|Law|Philosophy|Artificial intelligence|Computer science,Multiculturalism,"Peace, justice, and strong institutions"
